title,slug,description,duration,link,image,unit_duration
Introduction to Large Language Models,introduction-to-large-language-models,"In this module, you’ll explore the capabilities of large language models and their business applications. You’ll learn about the different types of IBM Granite models and the unique features that make them ideal for enterprise use. You’ll also discover how to craft effective prompts to guide these models and overcome common challenges in their use.",90,https://skills.yourlearning.ibm.com/activity/MDL-568?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/02/Introduction-to-Large-Language-Models.jpg,minutes
Build Your First Chatbot Using IBM watsonx™,build-your-first-chatbot-using-ibm-watsonx,"In this course, you will learn the steps to create conversational chatbots that can understand and respond to natural language. You will also understand the fundamentals of Natural Language Processing (NLP) and learn how to apply them to real-world scenarios. Through a hands-on simulation using IBM watsonx, you’ll gain the skills needed to create a simple chatbot.",60,https://skills.yourlearning.ibm.com/activity/MDL-510?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/01/Build-Your-First-Chatbot.jpg,minutes
Ethical Considerations for Using Generative AI,ethical-considerations-for-using-generative-ai,"In this module, you’ll explore the fascinating and complex world of ethics as they relate to generative AI. You’ll learn about the pillars of transparency, accountability, and fairness. You’ll discover ethical considerations and risks related to data inputs to AI systems and uncover the ethical implications of AI-generated output. Finally, you’ll be introduced to the IBM AI risk atlas.",60,https://skills.yourlearning.ibm.com/activity/MDL-571?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/04/Ethical-Considerations-for-Generative-AI-600.png,minutes
Unleashing the Power of AI Agents,unleashing-the-power-of-ai-agents,"In this module, you’ll explore AI agents, how they perform tasks, and the different types of AI agents that exist. You’ll learn how to identify key use cases where AI agents improve efficiency and categorize them based on how they make decisions. Finally, you'll learn how AI agents work and where they are making an impact today.",60,https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3825456?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/04/Unleashing-the-Power-of-AI-Agents-600.png,minutes
The Rise of Multiagent Systems,the-rise-of-multiagent-systems,"In this module, you learn about multiagent systems and how they differ from single-agent systems. You explore how agents interact and work together and discover the ways these systems solve complex problems across different industries. Through practical examples, you uncover the power of agents collaborating to create innovative solutions.",60,https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3826474?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/04/The-Rise-of-Multiagent-Systems-600p.png,minutes
Vector Embeddings: AI’s Key to Meaning,vector-embeddings-ais-key-to-meaning,"In this module, you learn about how when searching online, the words used in a query often don’t exactly match the words in the content being sought. That’s where vector embeddings come in. They help AI to capture meaning by recognizing patterns and relationships across different types of data, rather than focusing only on exact words.",60,https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3826580?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/04/Vector-Embeddings-600.png,minutes
Classifying Data Using IBM Granite,classifying-data-using-ibm-granite,"In this module, you’ll explore the role of generative artificial intelligence in simplifying tasks involving classifying data. You’ll identify methods for selecting an IBM Granite model for classifying text-based data and examine various prompts to use within these models. ",60,https://skills.yourlearning.ibm.com/activity/MDL-563?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/01/Classifying-Data-Using-IBM-Granite.jpg,minutes
Introduction to Retrieval-Augmented Generation,introduction-to-retrieval-augmented-generation,"In this module, you’ll learn what RAG is and identify its key use cases. Next, you’ll explore the benefits of using RAG to enhance the knowledge base of an AI model. Finally, you’ll find out the key steps in the RAG workflow.",60,https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3825461?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/04/Introduction-to-Retrieval-Augmented-Generation-600.png,minutes
Explore Text to Speech Using IBM watson®,explore-text-to-speech-using-ibm-watson,"This module introduces the fundamentals of text-to-speech (TTS) technology and the role of generative AI in developing these systems. Through a hands-on simulation using IBM watsonx, you’ll gain the skills needed to create and refine your own AI-powered voice synthesis model.",60,https://skills.yourlearning.ibm.com/activity/MDL-507?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/01/Explore-Text-to-Speech-Using-IBM-watsonx.jpg,minutes
IBM Granite Models for Software Development,ibm-granite-models-for-software-development,"In this module, you’ll discover how generative artificial intelligence is rewriting the rules of code creation. You’ll learn about IBM Granite models and discover their different types and the benefits they bring to your coding journey. You’ll also learn how to use IBM Granite models to troubleshoot code, allowing you to identify and fix issues faster. You’ll discover the value of Granite models for software developers and be able to explain how to use them.",60,https://skills.yourlearning.ibm.com/activity/MDL-567?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/01/IBM-Granite-Models-for-Software-Development.jpg,minutes
Summarizing Data Using IBM Granite,summarizing-data-using-ibm-granite,"In this module, you'll explore the role of generative AI in text-based data summarization. Next, you’ll learn about various IBM Granite models for text summarization and how you can choose the right model for your needs. Finally, you’ll explore how to prompt IBM Granite models to summarize text.",60,https://skills.yourlearning.ibm.com/activity/MDL-564?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/01/Summarizing-Data-Using-IBM-Granite.jpg,minutes
